,Order ID,Product ID,Returned
0,CA-2016-152156,FUR-BO-10001798,Not
1,CA-2016-152156,FUR-CH-10000454,Not
2,CA-2016-138688,OFF-LA-10000240,Not
3,US-2015-108966,FUR-TA-10000577,Not
4,US-2015-108966,OFF-ST-10000760,Not
5,CA-2014-115812,FUR-FU-10001487,Not
6,CA-2014-115812,OFF-AR-10002833,Not
7,CA-2014-115812,TEC-PH-10002275,Not
8,CA-2014-115812,OFF-BI-10003910,Not
9,CA-2014-115812,OFF-AP-10002892,Not
10,CA-2014-115812,FUR-TA-10001539,Not
11,CA-2014-115812,TEC-PH-10002033,Not
12,CA-2017-114412,OFF-PA-10002365,Not
13,CA-2016-161389,OFF-BI-10003656,Not
14,US-2015-118983,OFF-AP-10002311,Not
15,US-2015-118983,OFF-BI-10000756,Not
16,CA-2014-105893,OFF-ST-10004186,Not
17,CA-2014-167164,OFF-ST-10000107,Not
18,CA-2014-143336,OFF-AR-10003056,Yes
19,CA-2014-143336,TEC-PH-10001949,Yes
20,CA-2014-143336,OFF-BI-10002215,Yes
21,CA-2016-137330,OFF-AR-10000246,Not
22,CA-2016-137330,OFF-AP-10001492,Not
23,US-2017-156909,FUR-CH-10002774,Not
24,CA-2015-106320,FUR-TA-10000577,Not
25,CA-2016-121755,OFF-BI-10001634,Not
26,CA-2016-121755,TEC-AC-10003027,Not
27,US-2015-150630,FUR-BO-10004834,Not
28,US-2015-150630,OFF-BI-10000474,Not
29,US-2015-150630,FUR-FU-10004848,Not
30,US-2015-150630,OFF-EN-10001509,Not
31,US-2015-150630,OFF-AR-10004042,Not
32,US-2015-150630,OFF-BI-10001525,Not
33,US-2015-150630,OFF-AR-10001683,Not
34,CA-2017-107727,OFF-PA-10000249,Not
35,CA-2016-117590,TEC-PH-10004977,Not
36,CA-2016-117590,FUR-FU-10003664,Not
37,CA-2015-117415,OFF-EN-10002986,Not
38,CA-2015-117415,FUR-BO-10002545,Not
39,CA-2015-117415,FUR-CH-10004218,Not
40,CA-2015-117415,TEC-PH-10000486,Not
41,CA-2017-120999,TEC-PH-10004093,Not
42,CA-2016-101343,OFF-ST-10003479,Not
43,CA-2017-139619,OFF-ST-10003282,Not
44,CA-2016-118255,TEC-AC-10000171,Not
45,CA-2016-118255,OFF-BI-10003291,Not
46,CA-2014-146703,OFF-ST-10001713,Not
47,CA-2016-169194,TEC-AC-10002167,Not
48,CA-2016-169194,TEC-PH-10003988,Not
49,CA-2015-115742,OFF-BI-10004410,Not
50,CA-2015-115742,OFF-LA-10002762,Not
51,CA-2015-115742,FUR-FU-10001706,Not
52,CA-2015-115742,FUR-CH-10003061,Not
53,CA-2016-105816,OFF-FA-10000304,Not
54,CA-2016-105816,TEC-PH-10002447,Not
55,CA-2016-111682,OFF-ST-10000604,Yes
56,CA-2016-111682,OFF-PA-10001569,Yes
57,CA-2016-111682,FUR-CH-10003968,Yes
58,CA-2016-111682,OFF-PA-10000587,Yes
59,CA-2016-111682,TEC-AC-10002167,Yes
60,CA-2016-111682,OFF-BI-10001460,Yes
61,CA-2016-111682,OFF-AR-10001868,Yes
62,CA-2015-135545,TEC-AC-10004633,Not
63,CA-2015-135545,OFF-BI-10001078,Not
64,CA-2015-135545,OFF-PA-10003892,Not
65,CA-2015-135545,FUR-FU-10000397,Not
66,US-2015-164175,FUR-CH-10001146,Not
67,CA-2014-106376,OFF-AR-10002671,Not
68,CA-2014-106376,TEC-PH-10002726,Not
69,CA-2016-119823,OFF-PA-10000482,Not
70,CA-2016-106075,OFF-BI-10004654,Not
71,CA-2017-114440,OFF-PA-10004675,Not
72,US-2015-134026,FUR-CH-10000513,Not
73,US-2015-134026,FUR-FU-10003708,Not
74,US-2015-134026,OFF-ST-10004123,Not
75,US-2017-118038,OFF-BI-10004182,Not
76,US-2017-118038,FUR-FU-10000260,Not
77,US-2017-118038,OFF-ST-10000615,Not
78,US-2014-147606,FUR-FU-10003194,Not
79,CA-2016-127208,OFF-AP-10002118,Not
80,CA-2016-127208,OFF-BI-10002309,Not
81,CA-2014-139451,OFF-AR-10002053,Not
82,CA-2014-139451,OFF-ST-10002370,Not
83,CA-2015-149734,OFF-EN-10000927,Not
84,US-2017-119662,OFF-ST-10003656,Not
85,CA-2017-140088,FUR-CH-10000863,Not
86,CA-2017-155558,TEC-AC-10001998,Not
87,CA-2017-155558,OFF-LA-10000134,Not
88,CA-2016-159695,OFF-ST-10003442,Not
89,CA-2016-109806,OFF-AR-10004930,Yes
90,CA-2016-109806,TEC-PH-10004093,Yes
91,CA-2016-109806,OFF-PA-10000304,Yes
92,CA-2015-149587,OFF-PA-10003177,Not
93,CA-2015-149587,FUR-FU-10003799,Not
94,CA-2015-149587,OFF-BI-10002852,Not
95,US-2017-109484,OFF-BI-10004738,Not
96,CA-2017-161018,FUR-FU-10000629,Not
97,CA-2017-157833,OFF-BI-10001721,Not
98,CA-2016-149223,OFF-AP-10000358,Not
99,CA-2016-158568,OFF-PA-10003256,Not
100,CA-2016-158568,TEC-AC-10001767,Not
101,CA-2016-158568,OFF-BI-10002609,Not
102,CA-2016-129903,OFF-PA-10004040,Not
103,US-2015-156867,TEC-AC-10001552,Not
104,US-2015-156867,FUR-FU-10004006,Not
105,US-2015-156867,OFF-BI-10002794,Not
106,CA-2017-119004,TEC-AC-10003499,Not
107,CA-2017-119004,TEC-PH-10002844,Not
108,CA-2017-119004,OFF-AR-10000390,Not
109,CA-2015-129476,TEC-AC-10000844,Not
110,CA-2017-146780,FUR-FU-10001934,Not
111,CA-2016-128867,OFF-AR-10000380,Not
112,CA-2016-128867,OFF-BI-10003981,Not
113,CA-2014-115259,OFF-FA-10000621,Not
114,CA-2014-115259,OFF-EN-10002600,Not
115,CA-2014-115259,OFF-PA-10004965,Not
116,CA-2014-115259,OFF-EN-10002504,Not
117,CA-2015-110457,FUR-TA-10001768,Not
118,US-2015-136476,OFF-BI-10003650,Not
119,CA-2016-103730,FUR-FU-10002157,Not
120,CA-2016-103730,OFF-BI-10003910,Not
121,CA-2016-103730,OFF-ST-10000777,Not
122,CA-2016-103730,OFF-EN-10002500,Not
123,CA-2016-103730,TEC-PH-10003875,Not
124,US-2014-152030,FUR-CH-10004063,Not
125,US-2014-134614,FUR-TA-10004534,Not
126,US-2017-107272,OFF-BI-10003274,Not
127,US-2017-107272,OFF-ST-10002974,Not
128,US-2016-125969,FUR-CH-10001146,Not
129,US-2016-125969,FUR-FU-10003773,Not
130,US-2017-164147,TEC-PH-10002293,Not
131,US-2017-164147,OFF-PA-10002377,Not
132,US-2017-164147,OFF-FA-10002780,Not
133,CA-2016-145583,OFF-PA-10001804,Yes
134,CA-2016-145583,OFF-PA-10001736,Yes
135,CA-2016-145583,OFF-AR-10001149,Yes
136,CA-2016-145583,OFF-FA-10002988,Yes
137,CA-2016-145583,OFF-BI-10004781,Yes
138,CA-2016-145583,OFF-SU-10001218,Yes
139,CA-2016-145583,FUR-FU-10001706,Yes
140,CA-2016-110366,FUR-FU-10004848,Not
141,CA-2017-106180,OFF-AR-10000940,Not
142,CA-2017-106180,OFF-EN-10004030,Not
143,CA-2017-106180,OFF-PA-10004327,Not
144,CA-2017-155376,OFF-AP-10001058,Not
145,CA-2015-110744,OFF-ST-10003656,Not
146,CA-2014-110072,FUR-FU-10000521,Not
147,CA-2016-114489,TEC-PH-10000215,Not
148,CA-2016-114489,TEC-PH-10001448,Not
149,CA-2016-114489,FUR-CH-10000454,Not
150,CA-2016-114489,OFF-BI-10002735,Not
151,CA-2016-158834,OFF-AP-10000326,Not
152,CA-2016-158834,TEC-PH-10001254,Not
153,CA-2015-124919,OFF-PA-10001950,Not
154,CA-2015-124919,OFF-PA-10002254,Not
155,CA-2015-124919,OFF-ST-10001590,Not
156,CA-2015-118948,OFF-AR-10001547,Not
157,CA-2014-104269,FUR-CH-10004063,Not
158,CA-2016-114104,OFF-LA-10002475,Not
159,CA-2016-114104,TEC-PH-10004536,Not
160,CA-2016-162733,OFF-PA-10002751,Not
161,CA-2015-119697,TEC-AC-10003657,Not
162,CA-2016-154508,OFF-EN-10001990,Not
163,CA-2016-113817,OFF-BI-10004002,Not
164,CA-2014-139892,OFF-AR-10004441,Not
165,CA-2014-139892,TEC-MA-10000822,Not
166,CA-2014-139892,OFF-ST-10000991,Not
167,CA-2014-139892,FUR-CH-10004287,Not
168,CA-2014-139892,OFF-AR-10002656,Not
169,CA-2014-139892,OFF-AP-10002518,Not
170,CA-2014-139892,TEC-PH-10003931,Not
171,CA-2014-118962,OFF-PA-10000659,Not
172,CA-2014-118962,OFF-PA-10001144,Not
173,CA-2014-118962,FUR-CH-10003817,Not
174,US-2014-100853,OFF-AP-10000891,Not
175,US-2014-100853,OFF-LA-10003148,Not
176,US-2017-152366,OFF-AP-10002684,Not
177,US-2015-101511,FUR-CH-10004698,Not
178,US-2015-101511,OFF-SU-10002189,Not
179,CA-2015-137225,OFF-AR-10001940,Not
180,CA-2014-166191,OFF-ST-10003455,Not
181,CA-2014-166191,TEC-AC-10004659,Not
182,CA-2014-158274,TEC-PH-10003273,Not
183,CA-2014-158274,TEC-PH-10004896,Not
184,CA-2014-158274,TEC-AC-10002345,Not
185,CA-2016-105018,OFF-BI-10001890,Not
186,CA-2014-123260,TEC-AC-10002323,Not
187,CA-2016-157000,OFF-ST-10001328,Not
188,CA-2016-157000,OFF-PA-10001950,Not
189,CA-2015-102281,FUR-BO-10002613,Not
190,CA-2015-102281,TEC-PH-10001552,Not
191,CA-2015-102281,OFF-PA-10000061,Not
192,CA-2015-102281,FUR-BO-10002545,Not
193,CA-2015-102281,OFF-AR-10003514,Not
194,CA-2015-131457,OFF-EN-10001509,Not
195,CA-2014-140004,OFF-AR-10004685,Not
196,CA-2014-140004,OFF-AR-10004027,Not
197,CA-2017-107720,OFF-ST-10001414,Not
198,US-2017-124303,OFF-BI-10000343,Not
199,US-2017-124303,OFF-PA-10002749,Not
200,CA-2017-105074,OFF-PA-10002666,Not
201,CA-2014-133690,FUR-TA-10004289,Yes
202,CA-2014-133690,OFF-AP-10003622,Yes
203,US-2017-116701,OFF-AP-10003217,Not
204,CA-2017-126382,FUR-FU-10002960,Not
205,CA-2017-108329,TEC-PH-10001918,Not
206,CA-2017-135860,OFF-ST-10000642,Not
207,CA-2017-135860,TEC-PH-10001700,Not
208,CA-2017-135860,OFF-BI-10003274,Not
209,CA-2017-135860,OFF-FA-10000134,Not
210,CA-2017-135860,OFF-ST-10001522,Not
211,CA-2015-101007,TEC-AC-10001266,Not
212,CA-2015-146262,OFF-LA-10004544,Yes
213,CA-2015-146262,FUR-BO-10004695,Yes
214,CA-2015-146262,TEC-PH-10002844,Yes
215,CA-2015-146262,TEC-MA-10000864,Yes
216,CA-2015-146262,TEC-AC-10000109,Yes
217,CA-2016-130162,OFF-ST-10001328,Not
218,CA-2016-130162,TEC-PH-10002563,Not
219,CA-2015-169397,OFF-FA-10000585,Yes
220,CA-2015-169397,OFF-PA-10004000,Yes
221,CA-2015-169397,OFF-BI-10002852,Yes
222,CA-2015-169397,FUR-FU-10000087,Yes
223,CA-2015-169397,TEC-MA-10001148,Yes
224,CA-2015-169397,OFF-AR-10001958,Yes
225,CA-2015-163055,OFF-AR-10001026,Not
226,CA-2015-163055,FUR-TA-10003748,Not
227,CA-2015-163055,OFF-ST-10002485,Not
228,US-2015-145436,FUR-CH-10004860,Not
229,US-2015-145436,FUR-CH-10004477,Not
230,US-2014-156216,OFF-BI-10001679,Not
231,US-2017-100930,FUR-TA-10001705,Not
232,US-2017-100930,FUR-TA-10003473,Not
233,US-2017-100930,OFF-BI-10001679,Not
234,US-2017-100930,FUR-FU-10004017,Not
235,US-2017-100930,TEC-AC-10003832,Not
236,CA-2017-160514,OFF-PA-10002479,Not
237,CA-2016-157749,OFF-PA-10003349,Not
238,CA-2016-157749,FUR-FU-10000576,Not
239,CA-2016-157749,FUR-FU-10004351,Not
240,CA-2016-157749,TEC-PH-10000011,Not
241,CA-2016-157749,FUR-TA-10002607,Not
242,CA-2016-157749,FUR-FU-10002505,Not
243,CA-2016-157749,OFF-AR-10004685,Not
244,CA-2014-131926,FUR-CH-10004063,Not
245,CA-2014-131926,OFF-ST-10002276,Not
246,CA-2014-131926,OFF-PA-10004082,Not
247,CA-2014-131926,OFF-AP-10002945,Not
248,CA-2014-131926,OFF-PA-10000061,Not
249,CA-2016-154739,FUR-CH-10002965,Not
250,CA-2016-145625,OFF-PA-10004569,Not
