Year,Month,Day,Quarter,Date_ID
2016,8,11,3,1
2016,8,11,3,2
2016,12,6,4,3
2015,11,10,4,4
2015,11,10,4,5
2014,9,6,3,6
2014,9,6,3,7
2014,9,6,3,8
2014,9,6,3,9
2014,9,6,3,10
2014,9,6,3,11
2014,9,6,3,12
2017,4,15,2,13
2016,5,12,2,14
2015,11,22,4,15
2015,11,22,4,16
2014,11,11,4,17
2014,5,13,2,18
2014,8,27,3,19
2014,8,27,3,20
2014,8,27,3,21
2016,9,12,3,22
2016,9,12,3,23
2017,7,16,3,24
2015,9,25,3,25
2016,1,16,1,26
2016,1,16,1,27
2015,9,17,3,28
2015,9,17,3,29
2015,9,17,3,30
2015,9,17,3,31
2015,9,17,3,32
2015,9,17,3,33
2015,9,17,3,34
2017,10,19,4,35
2016,8,12,3,36
2016,8,12,3,37
2015,12,27,4,38
2015,12,27,4,39
2015,12,27,4,40
2015,12,27,4,41
2017,10,9,4,42
2016,7,17,3,43
2017,9,19,3,44
2016,11,3,4,45
2016,11,3,4,46
2014,10,20,4,47
2016,6,20,2,48
2016,6,20,2,49
2015,4,18,2,50
2015,4,18,2,51
2015,4,18,2,52
2015,4,18,2,53
2016,11,12,4,54
2016,11,12,4,55
2016,6,17,2,56
2016,6,17,2,57
2016,6,17,2,58
2016,6,17,2,59
2016,6,17,2,60
2016,6,17,2,61
2016,6,17,2,62
2015,11,24,4,63
2015,11,24,4,64
2015,11,24,4,65
2015,11,24,4,66
2015,4,30,2,67
2014,5,12,2,68
2014,5,12,2,69
2016,4,6,2,70
2016,9,18,3,71
2017,9,14,3,72
2015,4,26,2,73
2015,4,26,2,74
2015,4,26,2,75
2017,9,12,3,76
2017,9,12,3,77
2017,9,12,3,78
2014,11,26,4,79
2016,12,6,4,80
2016,12,6,4,81
2014,12,10,4,82
2014,12,10,4,83
2015,3,9,1,84
2017,11,13,4,85
2017,5,28,2,86
2017,10,26,4,87
2017,10,26,4,88
2016,5,4,2,89
2016,9,17,3,90
2016,9,17,3,91
2016,9,17,3,92
2015,1,31,1,93
2015,1,31,1,94
